model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
A3_physics_plus_activity_and_arrhenius,3,Kcat (s⁻¹),0.37224106784838573,2.5255752743677182,1.9818192825247911,17.647058823529413,23.52941176470588
A3_physics_plus_activity_and_arrhenius,3,Vmax (nM s⁻¹),0.3275659575894775,1.1341708196887135,0.8738856530594363,29.411764705882355,41.17647058823529
M1_raw_independent,4,Km (mM),-0.07289760992276983,1.10988376402249,0.885298057771276,23.52941176470588,47.05882352941176
M1_raw_independent,4,Kcat (s⁻¹),0.5796785325649844,2.145716206314109,1.6742107537271866,17.647058823529413,29.411764705882355
M1_raw_independent,4,Vmax (nM s⁻¹),0.20369421877157523,1.95724758430443,1.1653288983115269,23.52941176470588,58.82352941176471
M2_raw_chain,4,Km (mM),-0.07289760992276983,1.10988376402249,0.885298057771276,23.52941176470588,47.05882352941176
M2_raw_chain,4,Kcat (s⁻¹),0.540584261666087,2.2432848842667266,1.8500673194641932,5.88235294117647,23.52941176470588
M2_raw_chain,4,Vmax (nM s⁻¹),0.15145481828049134,2.020427714791396,1.2199861803529235,17.647058823529413,52.94117647058824
M3_physics_independent,4,Km (mM),0.7153346360554725,0.5716966846511802,0.46260961568974407,35.294117647058826,70.58823529411765
M3_physics_independent,4,Kcat (s⁻¹),0.5438929860584568,2.2351921882199925,1.6027336196831656,29.411764705882355,41.17647058823529
M3_physics_independent,4,Vmax (nM s⁻¹),0.3961391862866396,1.7044107130576354,0.8601227886202134,47.05882352941176,76.47058823529412
M4_full_physics_chain,4,Km (mM),0.7153346360554725,0.5716966846511802,0.46260961568974407,35.294117647058826,70.58823529411765
M4_full_physics_chain,4,Kcat (s⁻¹),0.5128150223363472,2.3100875511195307,1.6654426997792968,29.411764705882355,41.17647058823529
M4_full_physics_chain,4,Vmax (nM s⁻¹),0.3744171812495647,1.7347953030894634,0.8794584306826069,52.94117647058824,76.47058823529412
A0_physics_no_arrhenius,4,Km (mM),-0.1318612400097039,1.1399740188226166,0.8618982408007135,29.411764705882355,47.05882352941176
A0_physics_no_arrhenius,4,Kcat (s⁻¹),0.6035160047155576,2.0839837397210896,1.5229356367007398,17.647058823529413,47.05882352941176
A0_physics_no_arrhenius,4,Vmax (nM s⁻¹),0.287825878292593,1.8509680641318396,1.0538933878425554,17.647058823529413,70.58823529411765
A1_physics_plus_activity_category,4,Km (mM),0.747275484984931,0.5386690773890346,0.4336129283764187,41.17647058823529,76.47058823529412
A1_physics_plus_activity_category,4,Kcat (s⁻¹),0.4647854318328968,2.421282474722563,1.7726970669839852,29.411764705882355,41.17647058823529
A1_physics_plus_activity_category,4,Vmax (nM s⁻¹),0.4347044493580764,1.6490871779304228,0.7597076414712964,41.17647058823529,76.47058823529412
A2_physics_plus_arrhenius,4,Km (mM),0.7153346360554725,0.5716966846511802,0.4626096156897441,35.294117647058826,70.58823529411765
A2_physics_plus_arrhenius,4,Kcat (s⁻¹),0.5128150223363472,2.3100875511195307,1.6654426997792968,29.411764705882355,41.17647058823529
A2_physics_plus_arrhenius,4,Vmax (nM s⁻¹),0.3744171812495647,1.7347953030894634,0.8794584306826069,52.94117647058824,76.47058823529412
A3_physics_plus_activity_and_arrhenius,4,Km (mM),0.7513210032674035,0.534340278811672,0.4404844089729658,41.17647058823529,76.47058823529412
A3_physics_plus_activity_and_arrhenius,4,Kcat (s⁻¹),0.4466646378393494,2.461930044834714,1.773235362141447,23.52941176470588,47.05882352941176
A3_physics_plus_activity_and_arrhenius,4,Vmax (nM s⁻¹),0.41011703861052395,1.684568817245879,0.7638166319374161,41.17647058823529,76.47058823529412
M1_raw_independent,5,Km (mM),-0.3184799161331091,1.901945527319406,1.523987833593363,23.52941176470588,35.294117647058826
M1_raw_independent,5,Kcat (s⁻¹),0.26439300268159527,2.654429968788602,2.2113287987716834,0.0,17.647058823529413
